tf.Tensor(152.79198, shape=(), dtype=float32)
tf.Tensor(143.69572, shape=(), dtype=float32)
tf.Tensor(135.85507, shape=(), dtype=float32)
tf.Tensor(129.04584, shape=(), dtype=float32)
tf.Tensor(122.83758, shape=(), dtype=float32)
tf.Tensor(117.12957, shape=(), dtype=float32)
tf.Tensor(111.97836, shape=(), dtype=float32)
tf.Tensor(107.105286, shape=(), dtype=float32)
tf.Tensor(102.72114, shape=(), dtype=float32)
tf.Tensor(98.54676, shape=(), dtype=float32)
tf.Tensor(94.67193, shape=(), dtype=float32)
tf.Tensor(91.09725, shape=(), dtype=float32)
tf.Tensor(87.777245, shape=(), dtype=float32)
tf.Tensor(84.763725, shape=(), dtype=float32)
tf.Tensor(81.857735, shape=(), dtype=float32)
tf.Tensor(79.13093, shape=(), dtype=float32)
tf.Tensor(76.59754, shape=(), dtype=float32)
tf.Tensor(74.31951, shape=(), dtype=float32)
tf.Tensor(72.254456, shape=(), dtype=float32)
tf.Tensor(70.36093, shape=(), dtype=float32)
tf.Tensor(68.73525, shape=(), dtype=float32)
tf.Tensor(67.18087, shape=(), dtype=float32)
tf.Tensor(65.8593, shape=(), dtype=float32)
tf.Tensor(64.67518, shape=(), dtype=float32)
tf.Tensor(63.57225, shape=(), dtype=float32)
tf.Tensor(62.628147, shape=(), dtype=float32)
tf.Tensor(61.779594, shape=(), dtype=float32)
tf.Tensor(61.04956, shape=(), dtype=float32)
tf.Tensor(60.40914, shape=(), dtype=float32)
tf.Tensor(59.984386, shape=(), dtype=float32)
tf.Tensor(59.660225, shape=(), dtype=float32)
tf.Tensor(59.354855, shape=(), dtype=float32)
tf.Tensor(59.02283, shape=(), dtype=float32)
tf.Tensor(58.80927, shape=(), dtype=float32)
tf.Tensor(58.693443, shape=(), dtype=float32)
tf.Tensor(58.651226, shape=(), dtype=float32)
tf.Tensor(58.684917, shape=(), dtype=float32)
tf.Tensor(58.747063, shape=(), dtype=float32)
tf.Tensor(58.773495, shape=(), dtype=float32)
tf.Tensor(58.89974, shape=(), dtype=float32)
tf.Tensor(59.057636, shape=(), dtype=float32)
tf.Tensor(59.15673, shape=(), dtype=float32)
tf.Tensor(59.372726, shape=(), dtype=float32)
tf.Tensor(59.55296, shape=(), dtype=float32)
tf.Tensor(59.592968, shape=(), dtype=float32)
tf.Tensor(59.71504, shape=(), dtype=float32)
tf.Tensor(59.88052, shape=(), dtype=float32)
tf.Tensor(60.104084, shape=(), dtype=float32)
tf.Tensor(60.329994, shape=(), dtype=float32)
tf.Tensor(60.508327, shape=(), dtype=float32)
tf.Tensor(60.598495, shape=(), dtype=float32)
tf.Tensor(60.729473, shape=(), dtype=float32)
tf.Tensor(60.894787, shape=(), dtype=float32)
tf.Tensor(61.050964, shape=(), dtype=float32)
tf.Tensor(61.10581, shape=(), dtype=float32)
tf.Tensor(61.17531, shape=(), dtype=float32)
tf.Tensor(61.226944, shape=(), dtype=float32)
tf.Tensor(61.26029, shape=(), dtype=float32)
tf.Tensor(61.305466, shape=(), dtype=float32)
tf.Tensor(61.3172, shape=(), dtype=float32)
tf.Tensor(61.298317, shape=(), dtype=float32)
tf.Tensor(61.25953, shape=(), dtype=float32)
tf.Tensor(61.234512, shape=(), dtype=float32)
tf.Tensor(61.23684, shape=(), dtype=float32)
tf.Tensor(61.142307, shape=(), dtype=float32)
tf.Tensor(61.051918, shape=(), dtype=float32)
tf.Tensor(60.99866, shape=(), dtype=float32)
tf.Tensor(60.882877, shape=(), dtype=float32)
tf.Tensor(60.76448, shape=(), dtype=float32)
tf.Tensor(60.627007, shape=(), dtype=float32)
tf.Tensor(60.47925, shape=(), dtype=float32)
tf.Tensor(60.333557, shape=(), dtype=float32)
tf.Tensor(60.127895, shape=(), dtype=float32)
tf.Tensor(59.97577, shape=(), dtype=float32)
tf.Tensor(59.846443, shape=(), dtype=float32)
tf.Tensor(59.63417, shape=(), dtype=float32)
tf.Tensor(59.475563, shape=(), dtype=float32)
tf.Tensor(59.33627, shape=(), dtype=float32)
tf.Tensor(59.174984, shape=(), dtype=float32)
tf.Tensor(59.024483, shape=(), dtype=float32)
tf.Tensor(58.855957, shape=(), dtype=float32)
tf.Tensor(58.67001, shape=(), dtype=float32)
tf.Tensor(58.510735, shape=(), dtype=float32)
tf.Tensor(58.349403, shape=(), dtype=float32)
tf.Tensor(58.158493, shape=(), dtype=float32)
tf.Tensor(58.00687, shape=(), dtype=float32)
tf.Tensor(57.804543, shape=(), dtype=float32)
tf.Tensor(57.60548, shape=(), dtype=float32)
tf.Tensor(57.463863, shape=(), dtype=float32)
tf.Tensor(57.33015, shape=(), dtype=float32)
tf.Tensor(57.148224, shape=(), dtype=float32)
tf.Tensor(56.9821, shape=(), dtype=float32)
tf.Tensor(56.828712, shape=(), dtype=float32)
tf.Tensor(56.67694, shape=(), dtype=float32)
tf.Tensor(56.561424, shape=(), dtype=float32)
tf.Tensor(56.43671, shape=(), dtype=float32)
tf.Tensor(56.335182, shape=(), dtype=float32)
tf.Tensor(56.21144, shape=(), dtype=float32)
tf.Tensor(56.14101, shape=(), dtype=float32)
tf.Tensor(56.050198, shape=(), dtype=float32)
tf.Tensor(56.03587, shape=(), dtype=float32)
tf.Tensor(56.017494, shape=(), dtype=float32)
tf.Tensor(55.97856, shape=(), dtype=float32)
tf.Tensor(55.943466, shape=(), dtype=float32)
tf.Tensor(55.964172, shape=(), dtype=float32)
tf.Tensor(56.007988, shape=(), dtype=float32)
tf.Tensor(56.023643, shape=(), dtype=float32)
tf.Tensor(56.079235, shape=(), dtype=float32)
tf.Tensor(56.178406, shape=(), dtype=float32)
tf.Tensor(56.258247, shape=(), dtype=float32)
tf.Tensor(56.36837, shape=(), dtype=float32)
tf.Tensor(56.450394, shape=(), dtype=float32)
tf.Tensor(56.572124, shape=(), dtype=float32)
tf.Tensor(56.690155, shape=(), dtype=float32)
tf.Tensor(56.930595, shape=(), dtype=float32)
tf.Tensor(57.121914, shape=(), dtype=float32)
tf.Tensor(57.383995, shape=(), dtype=float32)
tf.Tensor(57.663456, shape=(), dtype=float32)
tf.Tensor(57.890728, shape=(), dtype=float32)
tf.Tensor(58.172085, shape=(), dtype=float32)
tf.Tensor(58.536346, shape=(), dtype=float32)
tf.Tensor(58.95711, shape=(), dtype=float32)
tf.Tensor(59.433594, shape=(), dtype=float32)
tf.Tensor(59.86782, shape=(), dtype=float32)
tf.Tensor(60.377735, shape=(), dtype=float32)
tf.Tensor(60.925957, shape=(), dtype=float32)
tf.Tensor(61.49718, shape=(), dtype=float32)
tf.Tensor(62.09862, shape=(), dtype=float32)
tf.Tensor(62.750507, shape=(), dtype=float32)
tf.Tensor(63.414608, shape=(), dtype=float32)
tf.Tensor(64.16909, shape=(), dtype=float32)
tf.Tensor(64.94603, shape=(), dtype=float32)
tf.Tensor(65.785324, shape=(), dtype=float32)
tf.Tensor(66.70338, shape=(), dtype=float32)
tf.Tensor(67.6857, shape=(), dtype=float32)
tf.Tensor(68.7379, shape=(), dtype=float32)
tf.Tensor(69.87452, shape=(), dtype=float32)
tf.Tensor(71.062294, shape=(), dtype=float32)
tf.Tensor(72.32033, shape=(), dtype=float32)
tf.Tensor(73.638, shape=(), dtype=float32)
tf.Tensor(75.01101, shape=(), dtype=float32)
tf.Tensor(76.51569, shape=(), dtype=float32)
tf.Tensor(78.11366, shape=(), dtype=float32)
tf.Tensor(79.85806, shape=(), dtype=float32)
tf.Tensor(81.611946, shape=(), dtype=float32)
tf.Tensor(83.53704, shape=(), dtype=float32)
tf.Tensor(85.556175, shape=(), dtype=float32)
tf.Tensor(87.74706, shape=(), dtype=float32)
tf.Tensor(90.088776, shape=(), dtype=float32)
tf.Tensor(92.46851, shape=(), dtype=float32)
tf.Tensor(95.00737, shape=(), dtype=float32)
tf.Tensor(97.69816, shape=(), dtype=float32)
tf.Tensor(100.747665, shape=(), dtype=float32)
tf.Tensor(103.71437, shape=(), dtype=float32)
tf.Tensor(106.998276, shape=(), dtype=float32)
tf.Tensor(110.57658, shape=(), dtype=float32)
tf.Tensor(114.23745, shape=(), dtype=float32)
tf.Tensor(117.07972, shape=(), dtype=float32)
tf.Tensor(119.32961, shape=(), dtype=float32)
tf.Tensor(122.154915, shape=(), dtype=float32)
tf.Tensor(125.1908, shape=(), dtype=float32)
tf.Tensor(128.62561, shape=(), dtype=float32)
tf.Tensor(132.4347, shape=(), dtype=float32)
tf.Tensor(136.73352, shape=(), dtype=float32)
tf.Tensor(141.56262, shape=(), dtype=float32)
tf.Tensor(146.55377, shape=(), dtype=float32)
tf.Tensor(152.27988, shape=(), dtype=float32)
tf.Tensor(157.52252, shape=(), dtype=float32)
tf.Tensor(161.14333, shape=(), dtype=float32)
tf.Tensor(165.05042, shape=(), dtype=float32)
tf.Tensor(169.78116, shape=(), dtype=float32)
tf.Tensor(175.06653, shape=(), dtype=float32)
tf.Tensor(181.14746, shape=(), dtype=float32)
tf.Tensor(187.98322, shape=(), dtype=float32)
tf.Tensor(195.83327, shape=(), dtype=float32)
tf.Tensor(204.32785, shape=(), dtype=float32)
tf.Tensor(212.50307, shape=(), dtype=float32)
tf.Tensor(217.66449, shape=(), dtype=float32)
tf.Tensor(223.59877, shape=(), dtype=float32)
tf.Tensor(230.92088, shape=(), dtype=float32)
tf.Tensor(239.32845, shape=(), dtype=float32)
tf.Tensor(249.02486, shape=(), dtype=float32)
tf.Tensor(259.75626, shape=(), dtype=float32)
tf.Tensor(271.4557, shape=(), dtype=float32)
tf.Tensor(284.6145, shape=(), dtype=float32)
tf.Tensor(292.74872, shape=(), dtype=float32)
tf.Tensor(301.48242, shape=(), dtype=float32)
tf.Tensor(312.79926, shape=(), dtype=float32)
tf.Tensor(325.60968, shape=(), dtype=float32)
tf.Tensor(341.69714, shape=(), dtype=float32)
tf.Tensor(360.14767, shape=(), dtype=float32)
tf.Tensor(376.50278, shape=(), dtype=float32)
tf.Tensor(386.92697, shape=(), dtype=float32)
tf.Tensor(400.14883, shape=(), dtype=float32)
tf.Tensor(415.83948, shape=(), dtype=float32)
tf.Tensor(435.6258, shape=(), dtype=float32)
tf.Tensor(458.44202, shape=(), dtype=float32)
tf.Tensor(477.34033, shape=(), dtype=float32)
tf.Tensor(494.43878, shape=(), dtype=float32)
tf.Tensor(515.0895, shape=(), dtype=float32)
tf.Tensor(539.42, shape=(), dtype=float32)
tf.Tensor(566.89154, shape=(), dtype=float32)
tf.Tensor(584.4834, shape=(), dtype=float32)
tf.Tensor(603.521, shape=(), dtype=float32)
tf.Tensor(628.9131, shape=(), dtype=float32)
tf.Tensor(660.33984, shape=(), dtype=float32)
tf.Tensor(694.7726, shape=(), dtype=float32)
tf.Tensor(712.5526, shape=(), dtype=float32)
tf.Tensor(735.8075, shape=(), dtype=float32)
tf.Tensor(766.80743, shape=(), dtype=float32)
tf.Tensor(804.49854, shape=(), dtype=float32)
tf.Tensor(839.94836, shape=(), dtype=float32)
tf.Tensor(854.6106, shape=(), dtype=float32)
tf.Tensor(879.011, shape=(), dtype=float32)
tf.Tensor(914.94183, shape=(), dtype=float32)
tf.Tensor(959.83673, shape=(), dtype=float32)
tf.Tensor(1010.95404, shape=(), dtype=float32)
tf.Tensor(1028.853, shape=(), dtype=float32)
tf.Tensor(1037.4312, shape=(), dtype=float32)
tf.Tensor(1062.737, shape=(), dtype=float32)
tf.Tensor(1100.5677, shape=(), dtype=float32)
tf.Tensor(1147.7695, shape=(), dtype=float32)
tf.Tensor(1182.6797, shape=(), dtype=float32)
tf.Tensor(1201.4581, shape=(), dtype=float32)
tf.Tensor(1232.8428, shape=(), dtype=float32)
tf.Tensor(1279.2284, shape=(), dtype=float32)
tf.Tensor(1312.8744, shape=(), dtype=float32)
tf.Tensor(1330.5321, shape=(), dtype=float32)
tf.Tensor(1363.3948, shape=(), dtype=float32)
tf.Tensor(1411.181, shape=(), dtype=float32)
tf.Tensor(1448.6199, shape=(), dtype=float32)
tf.Tensor(1448.5752, shape=(), dtype=float32)
tf.Tensor(1464.7429, shape=(), dtype=float32)
tf.Tensor(1501.3749, shape=(), dtype=float32)
tf.Tensor(1546.5725, shape=(), dtype=float32)
tf.Tensor(1563.7235, shape=(), dtype=float32)
tf.Tensor(1578.806, shape=(), dtype=float32)
tf.Tensor(1607.8566, shape=(), dtype=float32)
tf.Tensor(1654.202, shape=(), dtype=float32)
tf.Tensor(1664.3514, shape=(), dtype=float32)
tf.Tensor(1667.9802, shape=(), dtype=float32)
tf.Tensor(1690.5427, shape=(), dtype=float32)
tf.Tensor(1728.5154, shape=(), dtype=float32)
tf.Tensor(1755.4778, shape=(), dtype=float32)
tf.Tensor(1745.1895, shape=(), dtype=float32)
tf.Tensor(1747.6836, shape=(), dtype=float32)
tf.Tensor(1765.8319, shape=(), dtype=float32)
