tf.Tensor(80.54781, shape=(), dtype=float32)
tf.Tensor(80.000206, shape=(), dtype=float32)
tf.Tensor(79.75674, shape=(), dtype=float32)
tf.Tensor(79.47631, shape=(), dtype=float32)
tf.Tensor(79.275055, shape=(), dtype=float32)
tf.Tensor(79.07693, shape=(), dtype=float32)
tf.Tensor(78.89281, shape=(), dtype=float32)
tf.Tensor(78.70971, shape=(), dtype=float32)
tf.Tensor(78.58186, shape=(), dtype=float32)
tf.Tensor(78.38018, shape=(), dtype=float32)
tf.Tensor(78.26509, shape=(), dtype=float32)
tf.Tensor(78.149765, shape=(), dtype=float32)
tf.Tensor(78.01632, shape=(), dtype=float32)
tf.Tensor(77.91275, shape=(), dtype=float32)
tf.Tensor(77.77803, shape=(), dtype=float32)
tf.Tensor(77.68235, shape=(), dtype=float32)
tf.Tensor(77.576096, shape=(), dtype=float32)
tf.Tensor(77.492256, shape=(), dtype=float32)
tf.Tensor(77.41732, shape=(), dtype=float32)
tf.Tensor(77.30957, shape=(), dtype=float32)
tf.Tensor(77.239334, shape=(), dtype=float32)
tf.Tensor(77.156815, shape=(), dtype=float32)
tf.Tensor(77.10097, shape=(), dtype=float32)
tf.Tensor(77.02023, shape=(), dtype=float32)
tf.Tensor(76.95566, shape=(), dtype=float32)
tf.Tensor(76.89296, shape=(), dtype=float32)
tf.Tensor(76.84607, shape=(), dtype=float32)
tf.Tensor(76.75706, shape=(), dtype=float32)
tf.Tensor(76.713295, shape=(), dtype=float32)
tf.Tensor(76.666275, shape=(), dtype=float32)
tf.Tensor(76.59704, shape=(), dtype=float32)
tf.Tensor(76.53784, shape=(), dtype=float32)
tf.Tensor(76.48614, shape=(), dtype=float32)
tf.Tensor(76.444565, shape=(), dtype=float32)
tf.Tensor(76.39803, shape=(), dtype=float32)
tf.Tensor(76.358215, shape=(), dtype=float32)
tf.Tensor(76.31496, shape=(), dtype=float32)
tf.Tensor(76.27016, shape=(), dtype=float32)
tf.Tensor(76.219696, shape=(), dtype=float32)
tf.Tensor(76.19688, shape=(), dtype=float32)
tf.Tensor(76.14637, shape=(), dtype=float32)
tf.Tensor(76.0987, shape=(), dtype=float32)
tf.Tensor(76.07073, shape=(), dtype=float32)
tf.Tensor(76.02093, shape=(), dtype=float32)
tf.Tensor(75.971695, shape=(), dtype=float32)
tf.Tensor(75.9432, shape=(), dtype=float32)
tf.Tensor(75.92441, shape=(), dtype=float32)
tf.Tensor(75.884735, shape=(), dtype=float32)
tf.Tensor(75.85004, shape=(), dtype=float32)
tf.Tensor(75.806015, shape=(), dtype=float32)
