tf.Tensor(80.399185, shape=(), dtype=float32)
tf.Tensor(79.86041, shape=(), dtype=float32)
tf.Tensor(79.62459, shape=(), dtype=float32)
tf.Tensor(79.350784, shape=(), dtype=float32)
tf.Tensor(79.15557, shape=(), dtype=float32)
tf.Tensor(78.96299, shape=(), dtype=float32)
tf.Tensor(78.783875, shape=(), dtype=float32)
tf.Tensor(78.60552, shape=(), dtype=float32)
tf.Tensor(78.48193, shape=(), dtype=float32)
tf.Tensor(78.28433, shape=(), dtype=float32)
tf.Tensor(78.17299, shape=(), dtype=float32)
tf.Tensor(78.06113, shape=(), dtype=float32)
tf.Tensor(77.93092, shape=(), dtype=float32)
tf.Tensor(77.83028, shape=(), dtype=float32)
tf.Tensor(77.698395, shape=(), dtype=float32)
tf.Tensor(77.60538, shape=(), dtype=float32)
tf.Tensor(77.50159, shape=(), dtype=float32)
tf.Tensor(77.41996, shape=(), dtype=float32)
tf.Tensor(77.347, shape=(), dtype=float32)
tf.Tensor(77.24112, shape=(), dtype=float32)
tf.Tensor(77.17248, shape=(), dtype=float32)
tf.Tensor(77.09146, shape=(), dtype=float32)
tf.Tensor(77.0369, shape=(), dtype=float32)
tf.Tensor(76.95731, shape=(), dtype=float32)
tf.Tensor(76.89382, shape=(), dtype=float32)
tf.Tensor(76.83202, shape=(), dtype=float32)
tf.Tensor(76.78597, shape=(), dtype=float32)
tf.Tensor(76.6977, shape=(), dtype=float32)
tf.Tensor(76.65454, shape=(), dtype=float32)
tf.Tensor(76.60793, shape=(), dtype=float32)
tf.Tensor(76.53901, shape=(), dtype=float32)
tf.Tensor(76.48011, shape=(), dtype=float32)
tf.Tensor(76.42871, shape=(), dtype=float32)
tf.Tensor(76.38738, shape=(), dtype=float32)
tf.Tensor(76.34094, shape=(), dtype=float32)
tf.Tensor(76.30115, shape=(), dtype=float32)
tf.Tensor(76.25788, shape=(), dtype=float32)
tf.Tensor(76.213, shape=(), dtype=float32)
tf.Tensor(76.16251, shape=(), dtype=float32)
tf.Tensor(76.13959, shape=(), dtype=float32)
tf.Tensor(76.08891, shape=(), dtype=float32)
tf.Tensor(76.04114, shape=(), dtype=float32)
tf.Tensor(76.01296, shape=(), dtype=float32)
tf.Tensor(75.96299, shape=(), dtype=float32)
tf.Tensor(75.913734, shape=(), dtype=float32)
tf.Tensor(75.8851, shape=(), dtype=float32)
tf.Tensor(75.86615, shape=(), dtype=float32)
tf.Tensor(75.82627, shape=(), dtype=float32)
tf.Tensor(75.79135, shape=(), dtype=float32)
tf.Tensor(75.747154, shape=(), dtype=float32)
tf.Tensor(75.70846, shape=(), dtype=float32)
tf.Tensor(75.69401, shape=(), dtype=float32)
tf.Tensor(75.65375, shape=(), dtype=float32)
tf.Tensor(75.6221, shape=(), dtype=float32)
tf.Tensor(75.58231, shape=(), dtype=float32)
tf.Tensor(75.54919, shape=(), dtype=float32)
tf.Tensor(75.51785, shape=(), dtype=float32)
tf.Tensor(75.48612, shape=(), dtype=float32)
tf.Tensor(75.45934, shape=(), dtype=float32)
tf.Tensor(75.42341, shape=(), dtype=float32)
tf.Tensor(75.38041, shape=(), dtype=float32)
tf.Tensor(75.36686, shape=(), dtype=float32)
tf.Tensor(75.33254, shape=(), dtype=float32)
tf.Tensor(75.304184, shape=(), dtype=float32)
tf.Tensor(75.27029, shape=(), dtype=float32)
tf.Tensor(75.233765, shape=(), dtype=float32)
tf.Tensor(75.21626, shape=(), dtype=float32)
tf.Tensor(75.18073, shape=(), dtype=float32)
tf.Tensor(75.14222, shape=(), dtype=float32)
tf.Tensor(75.1161, shape=(), dtype=float32)
tf.Tensor(75.08459, shape=(), dtype=float32)
tf.Tensor(75.05447, shape=(), dtype=float32)
tf.Tensor(75.012245, shape=(), dtype=float32)
tf.Tensor(75.00312, shape=(), dtype=float32)
tf.Tensor(74.95293, shape=(), dtype=float32)
tf.Tensor(74.937546, shape=(), dtype=float32)
tf.Tensor(74.89723, shape=(), dtype=float32)
tf.Tensor(74.87003, shape=(), dtype=float32)
tf.Tensor(74.835014, shape=(), dtype=float32)
tf.Tensor(74.80525, shape=(), dtype=float32)
tf.Tensor(74.76994, shape=(), dtype=float32)
tf.Tensor(74.74046, shape=(), dtype=float32)
tf.Tensor(74.70417, shape=(), dtype=float32)
tf.Tensor(74.67545, shape=(), dtype=float32)
tf.Tensor(74.63588, shape=(), dtype=float32)
tf.Tensor(74.60078, shape=(), dtype=float32)
tf.Tensor(74.56464, shape=(), dtype=float32)
tf.Tensor(74.530685, shape=(), dtype=float32)
tf.Tensor(74.50339, shape=(), dtype=float32)
tf.Tensor(74.454254, shape=(), dtype=float32)
tf.Tensor(74.424385, shape=(), dtype=float32)
tf.Tensor(74.388565, shape=(), dtype=float32)
tf.Tensor(74.348694, shape=(), dtype=float32)
tf.Tensor(74.30992, shape=(), dtype=float32)
tf.Tensor(74.27424, shape=(), dtype=float32)
tf.Tensor(74.23681, shape=(), dtype=float32)
tf.Tensor(74.18927, shape=(), dtype=float32)
tf.Tensor(74.154366, shape=(), dtype=float32)
tf.Tensor(74.10782, shape=(), dtype=float32)
tf.Tensor(74.07347, shape=(), dtype=float32)
tf.Tensor(74.03454, shape=(), dtype=float32)
tf.Tensor(73.9911, shape=(), dtype=float32)
tf.Tensor(73.935684, shape=(), dtype=float32)
tf.Tensor(73.89705, shape=(), dtype=float32)
tf.Tensor(73.85942, shape=(), dtype=float32)
tf.Tensor(73.80527, shape=(), dtype=float32)
tf.Tensor(73.75631, shape=(), dtype=float32)
tf.Tensor(73.71222, shape=(), dtype=float32)
tf.Tensor(73.657196, shape=(), dtype=float32)
tf.Tensor(73.607605, shape=(), dtype=float32)
tf.Tensor(73.55902, shape=(), dtype=float32)
tf.Tensor(73.49644, shape=(), dtype=float32)
tf.Tensor(73.44318, shape=(), dtype=float32)
tf.Tensor(73.39377, shape=(), dtype=float32)
tf.Tensor(73.3412, shape=(), dtype=float32)
tf.Tensor(73.27086, shape=(), dtype=float32)
tf.Tensor(73.22619, shape=(), dtype=float32)
tf.Tensor(73.148506, shape=(), dtype=float32)
tf.Tensor(73.08663, shape=(), dtype=float32)
tf.Tensor(73.01901, shape=(), dtype=float32)
tf.Tensor(72.963356, shape=(), dtype=float32)
tf.Tensor(72.90581, shape=(), dtype=float32)
tf.Tensor(72.827705, shape=(), dtype=float32)
tf.Tensor(72.74713, shape=(), dtype=float32)
tf.Tensor(72.68092, shape=(), dtype=float32)
tf.Tensor(72.60179, shape=(), dtype=float32)
tf.Tensor(72.52814, shape=(), dtype=float32)
tf.Tensor(72.447365, shape=(), dtype=float32)
tf.Tensor(72.360344, shape=(), dtype=float32)
tf.Tensor(72.279434, shape=(), dtype=float32)
tf.Tensor(72.1912, shape=(), dtype=float32)
tf.Tensor(72.098404, shape=(), dtype=float32)
tf.Tensor(72.00823, shape=(), dtype=float32)
tf.Tensor(71.916374, shape=(), dtype=float32)
tf.Tensor(71.80817, shape=(), dtype=float32)
tf.Tensor(71.71868, shape=(), dtype=float32)
tf.Tensor(71.60751, shape=(), dtype=float32)
tf.Tensor(71.50593, shape=(), dtype=float32)
tf.Tensor(71.39042, shape=(), dtype=float32)
tf.Tensor(71.268105, shape=(), dtype=float32)
tf.Tensor(71.14748, shape=(), dtype=float32)
tf.Tensor(71.02868, shape=(), dtype=float32)
tf.Tensor(70.90512, shape=(), dtype=float32)
tf.Tensor(70.76895, shape=(), dtype=float32)
tf.Tensor(70.62021, shape=(), dtype=float32)
tf.Tensor(70.48609, shape=(), dtype=float32)
tf.Tensor(70.33227, shape=(), dtype=float32)
tf.Tensor(70.18601, shape=(), dtype=float32)
tf.Tensor(70.02276, shape=(), dtype=float32)
tf.Tensor(69.850204, shape=(), dtype=float32)
tf.Tensor(69.67748, shape=(), dtype=float32)
tf.Tensor(69.51548, shape=(), dtype=float32)
tf.Tensor(69.33268, shape=(), dtype=float32)
tf.Tensor(69.10777, shape=(), dtype=float32)
tf.Tensor(68.94414, shape=(), dtype=float32)
tf.Tensor(69.28115, shape=(), dtype=float32)
tf.Tensor(107.996704, shape=(), dtype=float32)
tf.Tensor(78.780136, shape=(), dtype=float32)
tf.Tensor(68.463326, shape=(), dtype=float32)
tf.Tensor(68.18335, shape=(), dtype=float32)
tf.Tensor(67.93427, shape=(), dtype=float32)
tf.Tensor(67.68612, shape=(), dtype=float32)
tf.Tensor(67.441055, shape=(), dtype=float32)
tf.Tensor(67.1875, shape=(), dtype=float32)
tf.Tensor(66.89395, shape=(), dtype=float32)
tf.Tensor(66.66977, shape=(), dtype=float32)
tf.Tensor(74.059685, shape=(), dtype=float32)
tf.Tensor(111.905685, shape=(), dtype=float32)
tf.Tensor(66.77402, shape=(), dtype=float32)
tf.Tensor(65.87465, shape=(), dtype=float32)
tf.Tensor(65.540085, shape=(), dtype=float32)
tf.Tensor(65.19976, shape=(), dtype=float32)
tf.Tensor(64.82164, shape=(), dtype=float32)
tf.Tensor(64.44798, shape=(), dtype=float32)
tf.Tensor(64.068695, shape=(), dtype=float32)
tf.Tensor(66.355064, shape=(), dtype=float32)
tf.Tensor(123.89827, shape=(), dtype=float32)
tf.Tensor(64.114975, shape=(), dtype=float32)
tf.Tensor(63.16938, shape=(), dtype=float32)
tf.Tensor(62.72037, shape=(), dtype=float32)
tf.Tensor(62.242825, shape=(), dtype=float32)
tf.Tensor(61.739613, shape=(), dtype=float32)
tf.Tensor(61.19208, shape=(), dtype=float32)
tf.Tensor(62.643364, shape=(), dtype=float32)
tf.Tensor(120.82706, shape=(), dtype=float32)
tf.Tensor(61.36487, shape=(), dtype=float32)
tf.Tensor(60.01462, shape=(), dtype=float32)
tf.Tensor(59.414497, shape=(), dtype=float32)
tf.Tensor(58.820553, shape=(), dtype=float32)
tf.Tensor(58.197083, shape=(), dtype=float32)
tf.Tensor(63.281284, shape=(), dtype=float32)
tf.Tensor(115.11733, shape=(), dtype=float32)
tf.Tensor(57.55268, shape=(), dtype=float32)
tf.Tensor(56.612095, shape=(), dtype=float32)
tf.Tensor(55.863873, shape=(), dtype=float32)
tf.Tensor(55.29444, shape=(), dtype=float32)
tf.Tensor(86.80644, shape=(), dtype=float32)
tf.Tensor(74.778015, shape=(), dtype=float32)
tf.Tensor(54.04485, shape=(), dtype=float32)
tf.Tensor(52.985584, shape=(), dtype=float32)
tf.Tensor(53.449196, shape=(), dtype=float32)
tf.Tensor(108.23663, shape=(), dtype=float32)
tf.Tensor(53.08606, shape=(), dtype=float32)
tf.Tensor(50.852345, shape=(), dtype=float32)
tf.Tensor(49.89119, shape=(), dtype=float32)
tf.Tensor(52.062756, shape=(), dtype=float32)
tf.Tensor(108.19317, shape=(), dtype=float32)
tf.Tensor(48.90751, shape=(), dtype=float32)
tf.Tensor(47.663837, shape=(), dtype=float32)
tf.Tensor(46.594425, shape=(), dtype=float32)
tf.Tensor(50.78628, shape=(), dtype=float32)
tf.Tensor(107.84005, shape=(), dtype=float32)
tf.Tensor(45.43474, shape=(), dtype=float32)
tf.Tensor(44.32331, shape=(), dtype=float32)
tf.Tensor(43.23351, shape=(), dtype=float32)
tf.Tensor(42.11579, shape=(), dtype=float32)
tf.Tensor(124.62499, shape=(), dtype=float32)
tf.Tensor(45.14757, shape=(), dtype=float32)
tf.Tensor(41.52927, shape=(), dtype=float32)
tf.Tensor(40.447144, shape=(), dtype=float32)
tf.Tensor(39.360226, shape=(), dtype=float32)
tf.Tensor(63.579582, shape=(), dtype=float32)
tf.Tensor(69.52963, shape=(), dtype=float32)
tf.Tensor(37.905457, shape=(), dtype=float32)
tf.Tensor(36.88281, shape=(), dtype=float32)
tf.Tensor(60.737617, shape=(), dtype=float32)
tf.Tensor(64.53356, shape=(), dtype=float32)
tf.Tensor(35.560184, shape=(), dtype=float32)
tf.Tensor(34.49051, shape=(), dtype=float32)
tf.Tensor(36.600594, shape=(), dtype=float32)
tf.Tensor(93.4751, shape=(), dtype=float32)
tf.Tensor(33.6927, shape=(), dtype=float32)
tf.Tensor(32.746593, shape=(), dtype=float32)
tf.Tensor(32.558247, shape=(), dtype=float32)
tf.Tensor(70.24849, shape=(), dtype=float32)
tf.Tensor(36.94519, shape=(), dtype=float32)
tf.Tensor(30.70291, shape=(), dtype=float32)
tf.Tensor(30.36389, shape=(), dtype=float32)
tf.Tensor(68.68664, shape=(), dtype=float32)
tf.Tensor(35.218014, shape=(), dtype=float32)
tf.Tensor(29.051407, shape=(), dtype=float32)
tf.Tensor(28.349344, shape=(), dtype=float32)
tf.Tensor(31.249763, shape=(), dtype=float32)
tf.Tensor(71.741455, shape=(), dtype=float32)
tf.Tensor(28.037582, shape=(), dtype=float32)
tf.Tensor(27.121193, shape=(), dtype=float32)
tf.Tensor(26.962093, shape=(), dtype=float32)
tf.Tensor(39.924667, shape=(), dtype=float32)
tf.Tensor(47.08055, shape=(), dtype=float32)
tf.Tensor(26.549057, shape=(), dtype=float32)
tf.Tensor(25.623167, shape=(), dtype=float32)
tf.Tensor(26.917862, shape=(), dtype=float32)
tf.Tensor(52.02008, shape=(), dtype=float32)
tf.Tensor(27.695158, shape=(), dtype=float32)
tf.Tensor(24.726246, shape=(), dtype=float32)
tf.Tensor(24.233244, shape=(), dtype=float32)
tf.Tensor(24.84059, shape=(), dtype=float32)
tf.Tensor(47.470615, shape=(), dtype=float32)
tf.Tensor(28.477411, shape=(), dtype=float32)
tf.Tensor(23.612139, shape=(), dtype=float32)
tf.Tensor(23.213175, shape=(), dtype=float32)
tf.Tensor(22.890772, shape=(), dtype=float32)
